name,correctAns,keypad,thisN,thisTrialN,thisRepN,key_resp_A1.keys,key_resp_A1.corr,key_resp_A1.rt,key_resp_A1.duration,key_resp_A2.keys,key_resp_A2.corr,key_resp_A2.rt,key_resp_A2.duration,words,key_resp_B1.keys,key_resp_B1.corr,key_resp_B1.rt,key_resp_B1.duration,key_resp_B2.keys,key_resp_B2.corr,key_resp_B2.rt,key_resp_B2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome.started,welcome.started,key_resp_22.started,Welcome.stopped,key_resp_22.keys,key_resp_22.rt,key_resp_22.duration,Introduction.started,key_resp.started,information.started,Introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reminder_A1.started,key_resp_2.started,image_a1.started,reminder_A1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,ISI1500_A1.started,background_A.started,text_ISI1500_A1.started,ISI1500_A1.stopped,practice_Task_A1.started,background_A_2.started,text_A1.started,key_resp_A1.started,practice_Task_A1.stopped,trials.key_resp_A1.keys,trials.key_resp_A1.corr,trials.key_resp_A1.rt,trials.key_resp_A1.duration,feedback_A1.started,feedback_A1.stopped,ISI250_A1.started,background_A_4.started,text_ISI250_A1.started,ISI250_A1.stopped,background_A_3.started,feedback_text_A1.started,score_A1.started,score_A1_text.started,key_resp_score.started,score_A1.stopped,key_resp_score.keys,key_resp_score.rt,key_resp_score.duration,reminder_A2.started,key_resp_23.started,image_a2.started,reminder_A2.stopped,key_resp_23.keys,key_resp_23.rt,key_resp_23.duration,record_Task_A2.started,background_A_5.started,text_A2.started,key_resp_A2.started,record_Task_A2.stopped,trials_4.key_resp_A2.keys,trials_4.key_resp_A2.corr,trials_4.key_resp_A2.rt,trials_4.key_resp_A2.duration,feedback_A2.started,feedback_A2.stopped,background_A_6.started,feedback_text_A2.started,background_A_6.stopped,feedback_text_A2.stopped,background_A_4.stopped,text_ISI250_A1.stopped,score_A2.started,score_A2_text.started,key_resp_3.started,score_A2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,reminder_B1.started,key_resp_24.started,image_b1.started,reminder_B1.stopped,key_resp_24.keys,key_resp_24.rt,key_resp_24.duration,ISI1500_B1.started,background_B.started,text_ISI1500_B1.started,ISI1500_B1.stopped,practice_Task_B1.started,background_B_2.started,text_B1.started,key_resp_B1.started,practice_Task_B1.stopped,trials_7.key_resp_B1.keys,trials_7.key_resp_B1.corr,trials_7.key_resp_B1.rt,trials_7.key_resp_B1.duration,feedback_B1.started,feedback_B1.stopped,ISI250_B1.started,background_B_4.started,text_ISI250_B1.started,ISI250_B1.stopped,background_B_4.stopped,text_ISI250_B1.stopped,background_B_3.started,feedback_text_B1.started,background_B_3.stopped,feedback_text_B1.stopped,score_B1.started,score_B1_text.started,key_resp_6.started,score_B1.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,reminder_B2.started,key_resp_25.started,image_b2.started,reminder_B2.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.duration,background_B.stopped,text_ISI1500_B1.stopped,record_Task_B2.started,background_B_6.started,text_B2.started,key_resp_B2.started,record_Task_B2.stopped,trials_2.key_resp_B2.keys,trials_2.key_resp_B2.corr,trials_2.key_resp_B2.rt,trials_2.key_resp_B2.duration,feedback_B2.started,feedback_B2.stopped,background_B_5.started,feedback_text_B2.started,background_B_5.stopped,feedback_text_B2.stopped,score_B2.started,score_B2_text.started,key_resp_4.started,score_B2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,reminder_C1.started,key_resp_26.started,image_c1.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2113349999999627,2.281351124998764,2.281351124998764,8.947671041998547,space,6.662800083000548,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.947776083999997,8.98691266700007,8.98691266700007,10.639823083998635,space,1.650039124999239,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.639897166998708,10.649280708999868,10.649280708999868,12.8303582919998,space,2.1740634170000703,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.830443333999938,12.854686208998828,12.854686208998828,14.32159991699882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Takasawa,right,l,0,0,0,l,1,0.6290355420005653,None,,,,,,,,,,,,,,0,0,0,36,,,,,,,,,,,,,14.400111375000051,,,,,,,,,,,,,,,,,,,,,,,,,,,14.391173291998712,14.400111375000051,14.400111375000051,14.400111375000051,15.031373791998703,l,1,0.6290355420005653,None,15.031534959000055,15.031592249999449,15.031639166998502,15.04685066699858,15.04685066699858,15.271378792000178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Yokomichi,right,l,1,1,0,l,1,0.4590297079994343,None,,,,,,,,,,,,,,0,1,1,26,,,,,,,,,,,,,15.29122124999958,,,,,,,,,,,,,,,,,,,,,,,,,,,15.28328454199982,15.29122124999958,15.29122124999958,15.29122124999958,15.755729999998948,l,1,0.4590297079994343,None,15.755854999999428,15.755903499999476,15.755940166998698,15.767536542000016,15.767536542000016,15.995737792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Kawabashi,right,l,2,2,0,l,1,0.4552866250014631,None,,,,,,,,,,,,,,0,2,2,31,,,,,,,,,,,,,16.010946583999612,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00334862499949,16.010946583999612,16.010946583999612,16.010946583999612,16.472349583998948,l,1,0.4552866250014631,None,16.47248191699873,16.472532083998885,16.472566166999968,16.48419012500017,16.48419012500017,16.71240329200009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Itsumatsu,right,l,3,3,0,l,1,0.44319779200122866,None,,,,,,,,,,,,,,0,3,3,29,,,,,,,,,,,,,16.728490249999595,,,,,,,,,,,,,,,,,,,,,,,,,,,16.72080887499942,16.728490249999595,16.728490249999595,16.728490249999595,17.181569458998638,l,1,0.44319779200122866,None,17.18170229199859,17.18175337499997,17.18178879199877,17.195422875000077,17.195422875000077,17.42132649999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Choung,left,a,4,4,0,l,0,0.7195327500012354,None,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,17.437299041999722,,,,,,,,,,,,,,,,,,,,,,,,,,,17.42922708399965,17.437299041999722,17.437299041999722,17.437299041999722,18.164288291998673,l,0,0.7195327500012354,None,18.170771874998536,18.471241041999747,18.471294291999584,18.47909904199878,18.47909904199878,18.70499929200014,18.18402199999946,18.18402199999946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Fukamachi,right,l,5,5,0,l,1,0.40320504199917195,None,,,,,,,,,,,,,,0,5,5,27,,,,,,,,,,,,,18.719105041998773,,,,,,,,,,,,,,,,,,,,,,,,,,,18.711120583999218,18.719105041998773,18.719105041998773,18.719105041998773,19.130891916998735,l,1,0.40320504199917195,None,19.131022458999723,19.131072083999243,19.13110579199929,19.14304579199961,19.14304579199961,19.37177999999949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
